metadata_variable	type	baseline	useForPERMANOVA	useForLCA	useForNB
sodium_comment	character				
potassium	numeric				
potassium1	factor				
potassium_normval	factor				
potassium_comment	character				
albumin	numeric				
albumin1	factor				
albumin_normval	factor				
albumin_comment	character				
bilirubin	numeric				
bilirubin1	factor				
bilirubin_normval	factor				
bilirubin_comment	character				
ast	numeric				
ast1	factor				
ast_normval	factor				
ast_comment	character				
alt	numeric				
alt1	factor				
alt_normval	factor				
alt_comment	character				
ab_cd4_helper	numeric				
ab_cd4_helper_na	factor				
ab_cd4_helper1	factor				
ab_cd4_helper2	factor	[351,1e+04)	yes	yes	yes
ab_cd4_helper_normval	factor				
ab_cd4_helper_comment	character				
per_cd4_pos_lymph	numeric				
per_cd4_pos_lymph_na	factor				
per_cd4_pos_lymph1	factor				
per_cd4_pos_lymph_normval	factor				
per_cd4_pos_lymph_comment	character				
hemoglobin	numeric				
hemoglobin1	factor				
hemoglobin_normval	factor				
hemoglobin_comment	character				
hepbsab	factor				
hepbsab_comment	character				
hepbsag	factor				
hepbsag_comment	character				
hepbcab_igm	factor				
hepbcab_igm_comment	character				
hep_b	factor				
hep_b_comment	character				
hep_c	factor				
hep_c_comment	character				
hepatitis_c	factor				
hepatitis_c_comment	character				
lab_date	date				
created_date	date				
chbi_hbs	factor				
chbi_hbs_comment	character				
DATE	date				
LABSDONE	factor				
Q4	factor				
Q185	factor	6			
Q185_TEXT	character				
Q13	factor				
Q15	factor	No			
Q16	factor				
Q186	factor				
Q186_0	factor	No			
Q74	factor	No			
Q75	factor	No			
Q78	factor	no			
Q92	numeric				
Q99_1_TEXT	numeric				
Q99_2_TEXT	numeric				
Q99_CLEAN	numeric		no		no
Q99_BINARY	factor	No	yes	yes	yes
Q103	factor	never		no	no
Q104	factor	never		no	no
Q103_BINARY	factor	No	yes		yes
Q104_BINARY	factor	No	yes		yes
Q151	numeric	0	no		yes
Q157_1	factor	never	no	no	no
Q157_2	factor	never	no	no	no
Q157_3	factor	never	no	no	no
Q157_4	factor	never	no	no	no
Q157_5	factor	never	no	no	no
Q157_6	factor	never	no	no	no
Q157_7	factor	never	no	no	no
Q157_8	factor	never	no	no	no
Q157_9	factor	never	no	no	no
Q157_10	factor	never	no	no	no
Q157_11	factor	never	no	no	no
Q157_1_binned	factor	No	yes	no	yes
Q157_2_binned	factor	No	yes	no	yes
Q157_3_binned	factor	No	yes	no	yes
Q157_4_binned	factor	No	yes	no	yes
Q157_5_binned	factor	No	yes	no	yes
Q157_6_binned	factor	No	yes	no	yes
Q157_7_binned	factor	No	yes	yes	yes
Q157_8_binned	factor	No	yes	no	yes
Q157_9_binned	factor	No	yes	no	yes
Q157_10_binned	factor	No	yes	no	yes
Q157_11_binned	factor	No	yes	no	yes
Q187	factor	never			no
Q164_1_TEXT	numeric	0			
Q164_2_TEXT	numeric	0			
Q164_3_TEXT	numeric	0			
Q164_4_TEXT	numeric	0			
Q164_5_TEXT	numeric	0			
Q165	factor	No			
Q166	factor	No			
race_ethnicity	factor				
behav_date	date				
urine_gonorrhea	factor	negative			no
rectal_swab_gonorrhea	factor	negative			no
throat_swab_gonorrhea	factor	negative			no
anygonorrhea	factor	negative	yes	yes	yes
Weight	numeric				no
Height_inches	numeric				no
bmi	numeric				no
hiv	factor				
hiv_diagnosis	date				
LCA	factor				no
MethMarijuana	factor	MethNo_MariNo	no	no	no
